text,label
 Của digibank,điều kiện sử dụng_context dksd
 Mình muốn hỏi của qrcode,điều kiện sử dụng_context dksd
 digibank ý,điều kiện sử dụng_context dksd
 qrcode ấy,điều kiện sử dụng_context dksd
 qrcode,điều kiện sử dụng_context dksd
 Digibank,điều kiện sử dụng_context dksd
 đóng digibank như nào,ngưng sử dụng
 khi không muốn sử dụng nữa thì tôi cần làm gì,ngưng sử dụng
 huỷ đăng ký digibank,ngưng sử dụng
 thủ tục đóng tài khoản,ngưng sử dụng
 tôi muốn huỷ ứng dụng,ngưng sử dụng
 tôi muốn huỷ dịch vụ sms banking thì làm thế nào,ngưng sử dụng
 tôi huỷ dịch vụ sms banking trên ứng dụng digibank được không,ngưng sử dụng
" tôi bị lộ mật khẩu digibank , khoá giúp tôi digibank",ngưng sử dụng
 Tôi muốn khóa digibank,ngưng sử dụng
 Tôi muốn khóa dịch vụ banking  online,ngưng sử dụng
 Tôi không dùng số điện thoại app chuyển tiền nữa tôi có thể khóa ứng dụng không,ngưng sử dụng
 Tôi cần khóa ứng dụng chuyển tiền online,ngưng sử dụng
 Tôi không muốn dùng dịch vụ internet banking nữa,ngưng sử dụng
 Tôi muốn khóa app Vietcombank,ngưng sử dụng
 Tôi muốn khóa dịch vụ banking trên điện thoại,ngưng sử dụng
 tôi muốn huỷ digibank,ngưng sử dụng
 huỷ digibank nhé,ngưng sử dụng
 huỷ digibank,ngưng sử dụng
 tôi muốn ngừng sử dụng dịch vụ vietcombank digibank,ngưng sử dụng
 tôi muốn huỷ dịch vụ ngân hàng số digibank thì phải làm cách nào,ngưng sử dụng
 đóng digibank,ngưng sử dụng
 khoá digibank,ngưng sử dụng
 Không muốn dùng dịch vụ digibank nữa đâu,ngưng sử dụng
" Hết muốn dùng dịch vụ digibank rồi, hủy cho mình nhé",ngưng sử dụng
 Mình không còn muốn sử dụng dịch vụ digibank,ngưng sử dụng
 Bỏ cái dịch vụ digibank đi nhé,ngưng sử dụng
 hủy dịch vụ digibank,ngưng sử dụng
 dừng sử dụng dịch vụ digibank,ngưng sử dụng
 đóng dịch vụ digibank,ngưng sử dụng
 Hỗ trợ mình dừng dịch vụ ngân hàng trực tuyến digibank,ngưng sử dụng
 Muốn hủy nhanh dịch vụ ngân hàng số,ngưng sử dụng
 Cần hủy gấp dịch vụ digibank,ngưng sử dụng
 hướng dẫn mình cách hủy dịch vụ digibank với,ngưng sử dụng
 đến đâu để hủy dịch vụ digibank,ngưng sử dụng
 Hủy dịch vụ digibank bằng cách nào,ngưng sử dụng
 mình muốn hủy dịch vụ digibank,ngưng sử dụng
 không muốn dùng dịch vụ digibank nữa,ngưng sử dụng
 ngưng sử dụng dịch vụ digibank,ngưng sử dụng
 hủy giúp mình cái dịch vụ ngân hàng số digibank với,ngưng sử dụng
 mình không muốn sử dụng dịch vụ digibank nữa,ngưng sử dụng
 Hủy đăng ký dịch vụ digibank,ngưng sử dụng
 Hủy cái dịch vụ ngân hàng số cho mình với,ngưng sử dụng
 Không muốn tiếp tục sử dụng dịch vụ digibank,ngưng sử dụng
 Làm sao để hủy dịch vụ Digibank,ngưng sử dụng
 Đăng ký ngừng dịch vụ,ngưng sử dụng
 Mình muốn hủy dịch vụ,ngưng sử dụng
 Mình muốn ngừng dịch vụ ngân hàng trực tuyến,ngưng sử dụng
 Không muốn dùng Digibank nữa thì cần làm gì,ngưng sử dụng
 Tôi không muốn tiếp tục sử dụng dịch vụ Ngân hàng số VCB Digibank thì phải làm gì?,ngưng sử dụng
" Tôi bị mất điện thoại có app nhận mã chuyển tiền, tôi muốn khóa thì làm thế nào",ngưng sử dụng
" Tôi bị mất điện thoại có app chuyển tiền, tôi muốn khóa app này",ngưng sử dụng
" Tôi không dùng số điện thoại app chuyển tiền nữa, tôi có thể khóa ứng dụng không",ngưng sử dụng
" Tôi không có nhu cầu sử dụng tài khoản tại Vietcombank nữa, Tôi muốn hủy các dịch vụ ngân hàng số tại Vietcombank",ngưng sử dụng
" Tôi bị mất sim điện thoại, tôi cần hủy digibank",ngưng sử dụng
 Tôi có nhu cầu sử dụng dịch vụ digibank,ngưng sử dụng
 dịch vụ ngân hàng điện tử mobile banking cung cấp những tính năng gì,tiện ích
 tôi có thể nạp tiền di động trả trước cho các thuê bao khác của người thân không,tiện ích
 tôi muốn đặt vé máy bay đi quốc tế trên ứng dụng digibank được không,tiện ích
 trả nợ online được không bạn,tiện ích
 digibank có trả nợ vay được không,tiện ích
 có sử dụng digibank để thực hiện trả nợ vay được không,tiện ích
 tôi muốn trả nợ vay trên digibank có được không,tiện ích
 chuyển tiền nhanh trên digibank qua số thẻ được không,tiện ích
 có thể thực hiện trả nợ vay trên digibank không,tiện ích
 tôi có thể chuyển tiền cho người nhận bằng số thẻ trên digibank không,tiện ích
 tôi thực hiện chuyển tiền ra nước ngoài trên digibank được không,tiện ích
 trên digibank có chuyển tiền qua số thẻ cho người nhận không,tiện ích
 chuyển tiền nhanh qua số thẻ của ngân hàng khác được không,tiện ích
 khách hàng muốn chuyển tiền nhanh qua ngân hàng khác nhưng không có số tài khoản mà chỉ có số thẻ của người nhận có chuyển khoản được không,tiện ích
 tôi được sử dụng những tính năng gì sau khi mở tài khoản theo phương thức ekyc,tiện ích
 tính năng mới của vietcombank digibank là gì,tiện ích
 tôi có thể trả nợ các khoản vay đã vay trên chương trình digibank không,tiện ích
 tôi có thể trả nợ trên digibank không,tiện ích
 tính năng digibank,tiện ích
 thẻ nạp tiền điện thoại,tiện ích
" tôi có thể mua vé máy bay, tàu, xe trực tuyến được không",tiện ích
 tại sao tôi nên chọn sử dụng dịch vụ ngân hàng số vietcombank digibank,tiện ích
 trả nợ vay trên digibank,tiện ích
 có thể nộp học phí trực tuyến qua vietcombank digibank được không,tiện ích
 vietcombank digibank có ưu điểm nào vượt trội so với dịch vụ banking của các ngân hàng khác,tiện ích
 các chức năng chính của digibank,tiện ích
 tôi có thể mua vé máy bay trên digibank không,tiện ích
