text,label
 em hỗ trợ đc gì,Bot làm được gì
 bạn hỗ trợ được những vấn đề gì,Bot làm được gì
 bạn biết những gì nhở,Bot làm được gì
 bạn biết những gì,Bot làm được gì
 bạn có thể làm được những gì dợ ?,Bot làm được gì
 Thế bạn trả lời đc vấn đề gì,Bot làm được gì
 bạn làm được gì nào,Bot làm được gì
 bạn có thể giúp gì ?,Bot làm được gì
 bạn có thể làm gì,Bot làm được gì
 Bạn có thể làm được gì,Bot làm được gì
 Bạn làm được gì,Bot làm được gì
 Bạn làm được gì vậy,Bot làm được gì
 Thế bạn làm được gì,Bot làm được gì
 Có thể giúp đỡ gì,Bot làm được gì
 Bạn có thể làm được gì vậy,Bot làm được gì
 Trả lời những câu hỏi về gì,Bot làm được gì
 Bạn trả lời được những câu hỏi như thế nào,Bot làm được gì
 Trả lời được những gì đấy,Bot làm được gì
 Bot trả lời được những câu gì nhỉ,Bot làm được gì
 Bạn có thể hỗ trợ tôi những vấn đề gì,Bot làm được gì
 Bên bạn cung cấp được những dịch vụ như thế nào,Bot làm được gì
 Bên mình cung cấp những dịch vụ gì,Bot làm được gì
 Bạn cung cấp được những thông tin gì,Bot làm được gì
 Bot này làm được những gì nhỉ,Bot làm được gì
 Bạn biết làm những gì,Bot làm được gì
 Bot này hỗ trợ được gì nhỉ,Bot làm được gì
 Bot này thì làm được gì,Bot làm được gì
 Bạn làm được gì đấy,Bot làm được gì
 không cần hỏi gì nữa tạm biệt,Tạm biệt
 không cần hỗ trợ gì nữa,Tạm biệt
 pai pai bot nhé,Tạm biệt
 pai bot,Tạm biệt
 pai pai,Tạm biệt
 pp,Tạm biệt
 bai bai bot nhé,Tạm biệt
 bai bai nha,Tạm biệt
 tạm biệt bot,Tạm biệt
 bai bot,Tạm biệt
 ok bai bot,Tạm biệt
 tạm biệt nhé,Tạm biệt
 bye,Tạm biệt
 bai bai,Tạm biệt
 bai,Tạm biệt
 tạm biệt bạn nhé,Tạm biệt
 ok. bai,Tạm biệt
 oke tạm biệt,Tạm biệt
 Thế thôi bye,Tạm biệt
" ok, tạm biệt",Tạm biệt
 bye nhé,Tạm biệt
 bye bạn,Tạm biệt
 chào tạm biệt,Tạm biệt
 goodbye,Tạm biệt
 bye bye,Tạm biệt
 tạm biệt,Tạm biệt
 Bạn có người yêu chưa,Hỏi người yêu
 Em có người yêu chưa thế,Hỏi người yêu
 Thế mày có bồ chưa,Hỏi người yêu
 bạn có bồ chưa,Hỏi người yêu
 Thế em có ny chưa nhỉ?,Hỏi người yêu
 bạn bao nhiêu tuổi,Hỏi tuổi
 bot bao nhiêu tuổi,Hỏi tuổi
 em bao nhiêu tuổi rồi đó,Hỏi tuổi
 cho biết tuổi của anh được không,Hỏi tuổi
 mình muốn biết tuổi của bạn,Hỏi tuổi
 bao nhiêu tuổi rồi thế,Hỏi tuổi
 nhiều tuổi chưa,Hỏi tuổi
 bạn bao nhiêu tuổi thế,Hỏi tuổi
 mày bao nhiêu tuổi dị?,Hỏi tuổi
 mà em bao nhiêu tuổi thế,Hỏi tuổi
 ok em,Vậy à
 thế hả,Vậy à
 vậy à,Vậy à
 ờm,Vậy à
 à,Vậy à
 thế à,Vậy à
 nhiều thế à,Vậy à
 vậy cơ à,Vậy à
 vậy á,Vậy à
 thế cơ à,Vậy à
 uhm,Vậy à
 uh,Vậy à
 ừ,Vậy à
 ờ,Vậy à
 ờ ok,Vậy à
 oki bạn,Vậy à
 okie e,Vậy à
 à oki,Vậy à
 hehe,Vậy à
 à ok nha,Vậy à
 yes,Vậy à
 à à,Vậy à
