text,label
 thanh toán hôm qua rồi,Step2_Đã thanh toán
 thanh toán mấy hôm nay rồi,Step2_Đã thanh toán
 thanh toán hết rồi mà,Step2_Đã thanh toán
 thanh toán từ tuần trước rồi,Step2_Đã thanh toán
 chuyển rồi em ơi,Step2_Đã thanh toán
 chị chuyển rồi nha,Step2_Đã thanh toán
 chuyển khoản thanh toán rồi nha,Step2_Đã thanh toán
 mình thanh toán xong rồi mà nhỉ,Step2_Đã thanh toán
 mình trả từ hôm có tin nhắn rồi,Step2_Đã thanh toán
 mình thanh toán xong xuôi hết rồi ấy,Step2_Đã thanh toán
 trả rồi nha bạn,Step2_Đã thanh toán
 đóng rồi nhé em,Step2_Đã thanh toán
 trả xong rồi sao cứ gọi miết vậy,Step2_Đã thanh toán
 trả hết rồi cứ gọi hoài nhỉ,Step2_Đã thanh toán
 thanh toán rồi nhé,Step2_Đã thanh toán
 chị thanh toán hôm nọ rồi mà em,Step2_Đã thanh toán
 đóng rồi gọi gì lắm thế,Step2_Đã thanh toán
 anh trả rồi đừng gọi nữa,Step2_Đã thanh toán
 thanh toán rồi,Step2_Đã thanh toán
 thanh toán rồi mà,Step2_Đã thanh toán
 đóng tiền rồi mà,Step2_Đã thanh toán
 sáng chuyển khoản rồi,Step2_Đã thanh toán
 chuyển tiền rồi mà,Step2_Đã thanh toán
 thanh toán dùm rồi mà,Step2_Đã thanh toán
 đã thanh toán rồi sao cứ gọi thế,Step2_Đã thanh toán
 không biết nha,Step1_2_Sai KH_người thân
 tôi không biết,Step1_2_Sai KH_người thân
" không, tôi là    cơ",Step1_2_Sai KH_người thân
 nhầm số rồi ấy,Step1_2_Sai KH_người thân
 lộn rồi,Step1_2_Sai KH_người thân
 nhầm rồi ấy,Step1_2_Sai KH_người thân
 không nhé,Step1_2_Sai KH_người thân
 không em nhé,Step1_2_Sai KH_người thân
 không phải nhé em ơi,Step1_2_Sai KH_người thân
 không phải anh,Step1_2_Sai KH_người thân
 không phải chị,Step1_2_Sai KH_người thân
 sai rồi ạ,Step1_2_Sai KH_người thân
 nhầm số rồi nhé,Step1_2_Sai KH_người thân
 dạ nhầm số rồi chị nhé,Step1_2_Sai KH_người thân
 dạ nhầm rồi ạ,Step1_2_Sai KH_người thân
 nhầm rồi ạ,Step1_2_Sai KH_người thân
 không phải ạ,Step1_2_Sai KH_người thân
 phiền ghê,Step1_2_Sai KH_người thân
 đã bảo không phải rồi gọi nhiều thế,Step1_2_Sai KH_người thân
 không phải mình,Step1_2_Sai KH_người thân
 nghe lạ thế,Step1_2_Sai KH_người thân
 chẳng quen,Step1_2_Sai KH_người thân
 không biết đâu,Step1_2_Sai KH_người thân
 ai nhờ?,Step1_2_Sai KH_người thân
 không nhớ nữa,Step1_2_Sai KH_người thân
 mình không quen,Step1_2_Sai KH_người thân
 lộn số rồi nha,Step1_2_Sai KH_người thân
 nhầm máy rồi nha,Step1_2_Sai KH_người thân
 không phải đâu,Step1_2_Sai KH_người thân
 không phải em ơi,Step1_2_Sai KH_người thân
 nhầm rồi em ơi,Step1_2_Sai KH_người thân
 chẳng quen ai vậy cả,Step1_2_Sai KH_người thân
 có biết đâu,Step1_2_Sai KH_người thân
 có quen đâu,Step1_2_Sai KH_người thân
 đã bảo không biết rồi,Step1_2_Sai KH_người thân
 đã bảo không phải rồi,Step1_2_Sai KH_người thân
 gọi nhiều quá,Step1_2_Sai KH_người thân
 yêu cầu gỡ số này ra khỏi hệ thống,Step1_2_Sai KH_người thân
 nhầm máy rồi nhé,Step1_2_Sai KH_người thân
" không biết, sao cứ gọi thế",Step1_2_Sai KH_người thân
 đừng làm phiền,Step1_2_Sai KH_người thân
 số mới mua,Step1_2_Sai KH_người thân
 không quen,Step1_2_Sai KH_người thân
 không biết,Step1_2_Sai KH_người thân
 không phải nhé em,Step1_2_Sai KH_người thân
 nhầm máy rồi em ơi,Step1_2_Sai KH_người thân
 nhầm số rồi ạ,Step1_2_Sai KH_người thân
 gọi nhầm rồi nha bạn,Step1_2_Sai KH_người thân
 gọi nhầm nhé,Step1_2_Sai KH_người thân
 nhầm rồi nha,Step1_2_Sai KH_người thân
 bạn gọi nhầm rồi nha,Step1_2_Sai KH_người thân
 sai số rồi em ơi,Step1_2_Sai KH_người thân
 chị gọi nhầm số rồi nhé,Step1_2_Sai KH_người thân
 bạn gọi nhầm số rồi nhé ạ,Step1_2_Sai KH_người thân
 nhầm số rồi em,Step1_2_Sai KH_người thân
 nhầm số em ơi,Step1_2_Sai KH_người thân
 nhầm rồi em,Step1_2_Sai KH_người thân
 gọi nhầm người rồi bạn ơi,Step1_2_Sai KH_người thân
 bạn ơi nhầm số rùi nha,Step1_2_Sai KH_người thân
